GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
57	GO:0044264	cellular polysaccharide metabolic proces...	39	3	1.2	0.05913	1
58	GO:0009073	aromatic amino acid family biosynthetic ...	17	2	0.52	0.06106	1
59	GO:1901566	organonitrogen compound biosynthetic pro...	651	26	20.05	0.06396	1
60	GO:0046112	nucleobase biosynthetic process	3	1	0.09	0.06719	1
61	GO:0044255	cellular lipid metabolic process	177	9	5.45	0.06768	1
62	GO:0006757	ATP generation from ADP	38	6	1.17	0.07095	1
63	GO:0001101	response to acid chemical	3	1	0.09	0.07592	1
64	GO:0042823	pyridoxal phosphate biosynthetic process	5	1	0.15	0.07809	1
65	GO:1901617	organic hydroxy compound biosynthetic pr...	17	2	0.52	0.07838	1
66	GO:1901564	organonitrogen compound metabolic proces...	2145	75	66.06	0.07881	1
67	GO:0090150	establishment of protein localization to...	30	2	0.92	0.08075	1
68	GO:0043604	amide biosynthetic process	408	10	12.56	0.08404	1
69	GO:0009107	lipoate biosynthetic process	4	1	0.12	0.08669	1
70	GO:0006357	regulation of transcription by RNA polym...	20	1	0.62	0.08818	1
71	GO:0006090	pyruvate metabolic process	41	7	1.26	0.08840	1
72	GO:0010605	negative regulation of macromolecule met...	23	2	0.71	0.09200	1
73	GO:0009875	pollen-pistil interaction	28	1	0.86	0.09825	1
74	GO:0044262	cellular carbohydrate metabolic process	83	5	2.56	0.09934	1
75	GO:0009112	nucleobase metabolic process	3	1	0.09	0.10091	1
76	GO:0006556	S-adenosylmethionine biosynthetic proces...	4	1	0.12	0.10278	1
77	GO:0042822	pyridoxal phosphate metabolic process	5	1	0.15	0.10538	1
78	GO:0006694	steroid biosynthetic process	25	2	0.77	0.10847	1
79	GO:0006108	malate metabolic process	4	2	0.12	0.10909	1
80	GO:0009106	lipoate metabolic process	4	1	0.12	0.10991	1
81	GO:0006412	translation	401	10	12.35	0.11009	1
82	GO:0045229	external encapsulating structure organiz...	35	2	1.08	0.11277	1
83	GO:0016054	organic acid catabolic process	15	3	0.46	0.11522	1
84	GO:0009069	serine family amino acid metabolic proce...	10	3	0.31	0.11611	1
85	GO:0046500	S-adenosylmethionine metabolic process	4	1	0.12	0.11888	1
86	GO:0015979	photosynthesis	91	5	2.8	0.11891	1
87	GO:0051276	chromosome organization	67	2	2.06	0.11933	1
88	GO:0006021	inositol biosynthetic process	3	1	0.09	0.12234	1
89	GO:0009082	branched-chain amino acid biosynthetic p...	3	1	0.09	0.12331	1
90	GO:0009415	response to water	3	1	0.09	0.12500	1
91	GO:0046184	aldehyde biosynthetic process	5	1	0.15	0.12645	1
92	GO:0006165	nucleoside diphosphate phosphorylation	43	6	1.32	0.12969	1
93	GO:0001522	pseudouridine synthesis	21	3	0.65	0.13462	1
94	GO:0006629	lipid metabolic process	300	13	9.24	0.14646	1
95	GO:0010035	response to inorganic substance	6	1	0.18	0.14885	1
96	GO:0006720	isoprenoid metabolic process	28	3	0.86	0.15395	1
97	GO:0008202	steroid metabolic process	26	2	0.8	0.15428	1
98	GO:0006542	glutamine biosynthetic process	6	2	0.18	0.15528	1
99	GO:0009132	nucleoside diphosphate metabolic process	45	6	1.39	0.15825	1
100	GO:0032259	methylation	41	3	1.26	0.15943	1
101	GO:0006366	transcription by RNA polymerase II	33	1	1.02	0.16462	1
102	GO:0051156	glucose 6-phosphate metabolic process	7	1	0.22	0.16666	1
103	GO:0051205	protein insertion into membrane	13	1	0.4	0.16851	1
104	GO:0044275	cellular carbohydrate catabolic process	3	1	0.09	0.16863	1
105	GO:0006099	tricarboxylic acid cycle	6	1	0.18	0.16931	1
106	GO:0030261	chromosome condensation	6	1	0.18	0.17232	1
107	GO:0006486	protein glycosylation	41	2	1.26	0.17835	1
108	GO:1901616	organic hydroxy compound catabolic proce...	3	1	0.09	0.19255	1
109	GO:0009892	negative regulation of metabolic process	24	2	0.74	0.19303	1
110	GO:0030091	protein repair	11	1	0.34	0.20588	1
111	GO:0043413	macromolecule glycosylation	41	2	1.26	0.20872	1
112	GO:0015995	chlorophyll biosynthetic process	3	1	0.09	0.21429	1
113	GO:0009072	aromatic amino acid family metabolic pro...	27	2	0.83	0.21494	1
114	GO:1901700	response to oxygen-containing compound	9	1	0.28	0.21878	1
115	GO:0048285	organelle fission	25	1	0.77	0.24288	1
116	GO:0006555	methionine metabolic process	6	2	0.18	0.24510	1
117	GO:0046395	carboxylic acid catabolic process	15	3	0.46	0.24592	1
118	GO:0061024	membrane organization	16	1	0.49	0.24936	1
119	GO:0051604	protein maturation	14	1	0.43	0.25255	1
120	GO:0006605	protein targeting	34	1	1.05	0.25954	1
121	GO:0007076	mitotic chromosome condensation	6	1	0.18	0.26087	1
122	GO:0046364	monosaccharide biosynthetic process	4	1	0.12	0.26267	1
123	GO:0006265	DNA topological change	12	1	0.37	0.27332	1
124	GO:0009628	response to abiotic stimulus	15	1	0.46	0.27491	1
125	GO:0008652	cellular amino acid biosynthetic process	53	4	1.63	0.28435	1
126	GO:0006739	NADP metabolic process	10	1	0.31	0.29095	1
127	GO:0006259	DNA metabolic process	196	5	6.04	0.29344	1
128	GO:0006479	protein methylation	25	3	0.77	0.29601	1
129	GO:0000278	mitotic cell cycle	24	1	0.74	0.30380	1
130	GO:0015994	chlorophyll metabolic process	4	1	0.12	0.30769	1
131	GO:0006812	cation transport	127	3	3.91	0.31086	1
132	GO:0006414	translational elongation	15	1	0.46	0.32158	1
133	GO:0031047	gene silencing by RNA	11	2	0.34	0.32164	1
134	GO:0006066	alcohol metabolic process	22	3	0.68	0.32730	1
135	GO:0009081	branched-chain amino acid metabolic proc...	3	1	0.09	0.32821	1
136	GO:0071103	DNA conformation change	12	1	0.37	0.32836	1
137	GO:0042440	pigment metabolic process	12	1	0.37	0.33813	1
138	GO:0009185	ribonucleoside diphosphate metabolic pro...	38	6	1.17	0.33894	1
139	GO:0009135	purine nucleoside diphosphate metabolic ...	38	6	1.17	0.33894	1
140	GO:0048519	negative regulation of biological proces...	39	2	1.2	0.33907	1
141	GO:0042816	vitamin B6 metabolic process	6	1	0.18	0.34476	1
142	GO:0042819	vitamin B6 biosynthetic process	6	1	0.18	0.34476	1
143	GO:0008654	phospholipid biosynthetic process	47	2	1.45	0.34610	1
144	GO:0034470	ncRNA processing	64	3	1.97	0.34650	1
145	GO:0033014	tetrapyrrole biosynthetic process	19	1	0.59	0.35728	1
146	GO:0009100	glycoprotein metabolic process	44	2	1.36	0.36112	1
147	GO:0098813	nuclear chromosome segregation	17	1	0.52	0.36170	1
148	GO:0019725	cellular homeostasis	112	4	3.45	0.36373	1
149	GO:0030001	metal ion transport	91	3	2.8	0.36441	1
150	GO:1902652	secondary alcohol metabolic process	3	1	0.09	0.37078	1
151	GO:0046174	polyol catabolic process	3	1	0.09	0.37143	1
152	GO:0043648	dicarboxylic acid metabolic process	11	2	0.34	0.37185	1
153	GO:0071554	cell wall organization or biogenesis	48	2	1.48	0.37741	1
154	GO:0072599	establishment of protein localization to...	16	1	0.49	0.38095	1
155	GO:0016570	histone modification	25	1	0.77	0.38200	1
156	GO:0019363	pyridine nucleotide biosynthetic process	6	1	0.18	0.38400	1
157	GO:0000819	sister chromatid segregation	15	1	0.46	0.39003	1
158	GO:0046164	alcohol catabolic process	3	1	0.09	0.39069	1
159	GO:0072350	tricarboxylic acid metabolic process	4	1	0.12	0.39109	1
160	GO:0043039	tRNA aminoacylation	45	4	1.39	0.39609	1
161	GO:0006633	fatty acid biosynthetic process	47	4	1.45	0.39894	1
162	GO:0018205	peptidyl-lysine modification	22	1	0.68	0.40000	1
163	GO:0005996	monosaccharide metabolic process	19	2	0.59	0.40508	1
164	GO:0019319	hexose biosynthetic process	4	1	0.12	0.40523	1
165	GO:0000272	polysaccharide catabolic process	8	1	0.25	0.41093	1
166	GO:0007059	chromosome segregation	20	1	0.62	0.42476	1
167	GO:0009084	glutamine family amino acid biosynthetic...	13	2	0.4	0.42682	1
168	GO:0006631	fatty acid metabolic process	64	5	1.97	0.43063	1
169	GO:0044706	multi-multicellular organism process	28	1	0.86	0.43077	1
170	GO:0006006	glucose metabolic process	12	2	0.37	0.43137	1
171	GO:0043603	cellular amide metabolic process	424	10	13.06	0.43751	1
172	GO:0070646	protein modification by small protein re...	14	1	0.43	0.44078	1
173	GO:0070085	glycosylation	44	2	1.36	0.44091	1
174	GO:0034645	cellular macromolecule biosynthetic proc...	477	12	14.69	0.44270	1
175	GO:0070647	protein modification by small protein co...	79	2	2.43	0.44626	1
176	GO:0016485	protein processing	13	1	0.4	0.45180	1
177	GO:0006779	porphyrin-containing compound biosynthet...	10	1	0.31	0.45455	1
178	GO:0019362	pyridine nucleotide metabolic process	6	1	0.18	0.45762	1
179	GO:0009064	glutamine family amino acid metabolic pr...	26	4	0.8	0.45903	1
180	GO:0033013	tetrapyrrole metabolic process	22	1	0.68	0.46249	1
181	GO:0045047	protein targeting to ER	16	1	0.49	0.47059	1
182	GO:0009065	glutamine family amino acid catabolic pr...	3	1	0.09	0.47581	1
183	GO:0016051	carbohydrate biosynthetic process	49	2	1.51	0.47869	1
184	GO:0009110	vitamin biosynthetic process	26	1	0.8	0.48959	1
185	GO:0006541	glutamine metabolic process	16	3	0.49	0.49632	1
186	GO:0072594	establishment of protein localization to...	36	1	1.11	0.49890	1
187	GO:1901605	alpha-amino acid metabolic process	69	9	2.12	0.49991	1
188	GO:0006544	glycine metabolic process	5	2	0.15	0.50000	1
189	GO:0009435	NAD biosynthetic process	3	1	0.09	0.50000	1
190	GO:1903047	mitotic cell cycle process	23	1	0.71	0.50000	1
191	GO:0009101	glycoprotein biosynthetic process	43	2	1.32	0.50043	1
192	GO:0042221	response to chemical	78	2	2.4	0.50243	1
193	GO:0033365	protein localization to organelle	43	1	1.32	0.50373	1
194	GO:0006740	NADPH regeneration	7	1	0.22	0.50384	1
195	GO:0055085	transmembrane transport	398	11	12.26	0.50442	1
196	GO:0070972	protein localization to endoplasmic reti...	22	1	0.68	0.51163	1
197	GO:0071555	cell wall organization	35	2	1.08	0.52748	1
198	GO:0006399	tRNA metabolic process	85	6	2.62	0.53778	1
199	GO:0008037	cell recognition	28	1	0.86	0.53922	1
200	GO:0009066	aspartate family amino acid metabolic pr...	13	2	0.4	0.54047	1
201	GO:0042254	ribosome biogenesis	45	3	1.39	0.54088	1
202	GO:0046173	polyol biosynthetic process	6	1	0.18	0.54386	1
203	GO:0042545	cell wall modification	26	2	0.8	0.54622	1
204	GO:0006396	RNA processing	171	3	5.27	0.54626	1
205	GO:0009086	methionine biosynthetic process	4	1	0.12	0.55392	1
206	GO:0033554	cellular response to stress	127	3	3.91	0.55566	1
207	GO:0006094	gluconeogenesis	4	1	0.12	0.57576	1
208	GO:0140014	mitotic nuclear division	15	1	0.46	0.57692	1
209	GO:0042592	homeostatic process	113	4	3.48	0.58484	1
210	GO:0006644	phospholipid metabolic process	66	2	2.03	0.58495	1
211	GO:0006778	porphyrin-containing compound metabolic ...	13	1	0.4	0.59091	1
212	GO:0044248	cellular catabolic process	141	4	4.34	0.59358	1
213	GO:0019752	carboxylic acid metabolic process	293	34	9.02	0.61327	1
214	GO:1901137	carbohydrate derivative biosynthetic pro...	106	3	3.26	0.61513	1
215	GO:0006163	purine nucleotide metabolic process	89	9	2.74	0.62383	1
216	GO:0006612	protein targeting to membrane	17	1	0.52	0.64009	1
217	GO:0006613	cotranslational protein targeting to mem...	11	1	0.34	0.64706	1
218	GO:0006721	terpenoid metabolic process	8	1	0.25	0.65201	1
219	GO:0016114	terpenoid biosynthetic process	8	1	0.25	0.65201	1
220	GO:0000070	mitotic sister chromatid segregation	15	1	0.46	0.65217	1
221	GO:0000003	reproduction	34	1	1.05	0.65576	1
222	GO:0022414	reproductive process	34	1	1.05	0.65576	1
223	GO:0046165	alcohol biosynthetic process	10	1	0.31	0.65756	1
224	GO:0018193	peptidyl-amino acid modification	55	1	1.69	0.65854	1
225	GO:0009765	photosynthesis, light harvesting	22	2	0.68	0.66502	1
226	GO:0006952	defense response	24	1	0.74	0.66597	1
227	GO:0070727	cellular macromolecule localization	146	2	4.5	0.67163	1
228	GO:0019344	cysteine biosynthetic process	5	1	0.15	0.68182	1
229	GO:0006614	SRP-dependent cotranslational protein ta...	11	1	0.34	0.68750	1
230	GO:0034637	cellular carbohydrate biosynthetic proce...	42	1	1.29	0.69014	1
231	GO:0071840	cellular component organization or bioge...	334	8	10.29	0.69861	1
232	GO:0043412	macromolecule modification	1102	23	33.94	0.70295	1
233	GO:1901565	organonitrogen compound catabolic proces...	102	3	3.14	0.71343	1
234	GO:0009070	serine family amino acid biosynthetic pr...	8	1	0.25	0.71458	1
235	GO:0000280	nuclear division	18	1	0.55	0.72000	1
236	GO:0022402	cell cycle process	46	1	1.42	0.72068	1
237	GO:0006281	DNA repair	122	3	3.76	0.72269	1
238	GO:0032787	monocarboxylic acid metabolic process	113	12	3.48	0.72453	1
239	GO:0016571	histone methylation	13	1	0.4	0.73951	1
240	GO:0009733	response to auxin	49	1	1.51	0.74242	1
241	GO:0008104	protein localization	176	3	5.42	0.74549	1
242	GO:0045184	establishment of protein localization	170	3	5.24	0.74841	1
243	GO:0006102	isocitrate metabolic process	3	1	0.09	0.75000	1
244	GO:0046148	pigment biosynthetic process	9	1	0.28	0.75000	1
245	GO:0015031	protein transport	161	2	4.96	0.75096	1
246	GO:0072330	monocarboxylic acid biosynthetic process	50	4	1.54	0.76031	1
247	GO:0009067	aspartate family amino acid biosynthetic...	11	1	0.34	0.77225	1
248	GO:0019751	polyol metabolic process	15	2	0.46	0.77273	1
249	GO:0009719	response to endogenous stimulus	66	1	2.03	0.77320	1
250	GO:0018022	peptidyl-lysine methylation	13	1	0.4	0.77774	1
251	GO:0006260	DNA replication	51	1	1.57	0.78242	1
252	GO:0043436	oxoacid metabolic process	297	34	9.15	0.78517	1
253	GO:0006811	ion transport	187	3	5.76	0.78859	1
254	GO:0044085	cellular component biogenesis	152	3	4.68	0.79149	1
255	GO:0006470	protein dephosphorylation	80	1	2.46	0.79458	1
256	GO:0006793	phosphorus metabolic process	1054	27	32.46	0.79624	1
257	GO:0019310	inositol catabolic process	3	1	0.09	0.80000	1
258	GO:0019684	photosynthesis, light reaction	34	2	1.05	0.80357	1
259	GO:0006364	rRNA processing	24	1	0.74	0.81863	1
260	GO:0008033	tRNA processing	41	2	1.26	0.82207	1
261	GO:0048544	recognition of pollen	28	1	0.86	0.82353	1
262	GO:0009856	pollination	28	1	0.86	0.82353	1
263	GO:0006464	cellular protein modification process	1061	20	32.68	0.82615	1
264	GO:0009117	nucleotide metabolic process	110	10	3.39	0.82867	1
265	GO:0033036	macromolecule localization	194	3	5.97	0.83094	1
266	GO:0009259	ribonucleotide metabolic process	85	7	2.62	0.83612	1
267	GO:0016072	rRNA metabolic process	24	1	0.74	0.83756	1
268	GO:1901607	alpha-amino acid biosynthetic process	43	4	1.32	0.83980	1
269	GO:0009060	aerobic respiration	17	1	0.52	0.85000	1
270	GO:0043038	amino acid activation	45	4	1.39	0.86731	1
271	GO:0032501	multicellular organismal process	65	1	2	0.87049	1
272	GO:0044042	glucan metabolic process	39	3	1.2	0.87104	1
273	GO:0051234	establishment of localization	867	19	26.7	0.87598	1
274	GO:0006096	glycolytic process	38	6	1.17	0.87925	1
275	GO:0016311	dephosphorylation	80	1	2.46	0.88457	1
276	GO:0007049	cell cycle	79	1	2.43	0.88900	1
277	GO:0006164	purine nucleotide biosynthetic process	43	3	1.32	0.89142	1
278	GO:0015980	energy derivation by oxidation of organi...	20	1	0.62	0.89153	1
279	GO:0006534	cysteine metabolic process	5	1	0.15	0.89423	1
280	GO:2001141	regulation of RNA biosynthetic process	648	3	19.96	0.89436	1
281	GO:0019318	hexose metabolic process	18	2	0.55	0.89474	1
282	GO:1903506	regulation of nucleic acid-templated tra...	648	3	19.96	0.90579	1
283	GO:0006754	ATP biosynthetic process	23	1	0.71	0.90730	1
284	GO:0009165	nucleotide biosynthetic process	61	4	1.88	0.91363	1
285	GO:0006563	L-serine metabolic process	5	1	0.15	0.91667	1
286	GO:0009142	nucleoside triphosphate biosynthetic pro...	28	1	0.86	0.91687	1
287	GO:0016310	phosphorylation	807	18	24.85	0.92336	1
288	GO:0034613	cellular protein localization	146	2	4.5	0.92435	1
289	GO:0006766	vitamin metabolic process	26	1	0.8	0.92440	1
290	GO:0009725	response to hormone	66	1	2.03	0.92958	1
291	GO:0006979	response to oxidative stress	55	1	1.69	0.93259	1
292	GO:1901576	organic substance biosynthetic process	1609	43	49.55	0.93628	1
293	GO:0006518	peptide metabolic process	415	10	12.78	0.93755	1
294	GO:0016070	RNA metabolic process	1005	14	30.95	0.93810	1
295	GO:0071705	nitrogen compound transport	195	2	6.01	0.94115	1
296	GO:0044237	cellular metabolic process	3482	100	107.23	0.94139	1
297	GO:0009057	macromolecule catabolic process	109	1	3.36	0.94192	1
298	GO:0006725	cellular aromatic compound metabolic pro...	1434	34	44.16	0.94464	1
299	GO:0050896	response to stimulus	573	12	17.65	0.94717	1
300	GO:0006886	intracellular protein transport	131	1	4.03	0.95052	1
301	GO:0019538	protein metabolic process	1811	47	55.77	0.95144	1
302	GO:0006974	cellular response to DNA damage stimulus	125	3	3.85	0.95313	1
303	GO:0046390	ribose phosphate biosynthetic process	39	1	1.2	0.95568	1
304	GO:0006996	organelle organization	193	2	5.94	0.95672	1
305	GO:0009141	nucleoside triphosphate metabolic proces...	29	1	0.89	0.95702	1
306	GO:0044249	cellular biosynthetic process	1574	39	48.47	0.95774	1
307	GO:0009058	biosynthetic process	1675	47	51.58	0.95782	1
308	GO:0007017	microtubule-based process	114	1	3.51	0.95859	1
309	GO:0046483	heterocycle metabolic process	1431	33	44.07	0.96319	1
310	GO:1901360	organic cyclic compound metabolic proces...	1470	37	45.27	0.96415	1
311	GO:0046394	carboxylic acid biosynthetic process	105	8	3.23	0.96474	1
312	GO:0009199	ribonucleoside triphosphate metabolic pr...	28	1	0.86	0.96552	1
313	GO:0009144	purine nucleoside triphosphate metabolic...	28	1	0.86	0.96552	1
314	GO:0051179	localization	873	19	26.89	0.96663	1
315	GO:0071702	organic substance transport	222	2	6.84	0.96805	1
316	GO:0016567	protein ubiquitination	63	1	1.94	0.96923	1
317	GO:0051641	cellular localization	194	2	5.97	0.96967	1
318	GO:0032446	protein modification by small protein co...	65	1	2	0.97046	1
319	GO:0046907	intracellular transport	167	1	5.14	0.98311	1
320	GO:0051649	establishment of localization in cell	167	1	5.14	0.98311	1
321	GO:0006810	transport	858	18	26.42	0.98504	1
322	GO:0016043	cellular component organization	289	5	8.9	0.98651	1
323	GO:0006355	regulation of transcription, DNA-templat...	648	3	19.96	0.98929	1
324	GO:0006139	nucleobase-containing compound metabolic...	1351	30	41.61	0.99135	1
325	GO:0009260	ribonucleotide biosynthetic process	39	1	1.2	0.99173	1
326	GO:0071704	organic substance metabolic process	3969	124	122.23	0.99262	1
327	GO:0010033	response to organic substance	71	1	2.19	0.99301	1
328	GO:0010468	regulation of gene expression	684	5	21.06	0.99344	1
329	GO:0006468	protein phosphorylation	754	12	23.22	0.99387	1
330	GO:0043043	peptide biosynthetic process	404	10	12.44	0.99502	1
331	GO:0036211	protein modification process	1061	20	32.68	0.99580	1
332	GO:0044238	primary metabolic process	3769	115	116.07	0.99589	1
333	GO:0090304	nucleic acid metabolic process	1191	19	36.68	0.99600	1
334	GO:0009152	purine ribonucleotide biosynthetic proce...	39	1	1.2	0.99606	1
335	GO:0044267	cellular protein metabolic process	1548	32	47.67	0.99675	1
336	GO:0009150	purine ribonucleotide metabolic process	85	7	2.62	0.99720	1
337	GO:0010467	gene expression	1367	20	42.1	0.99731	1
338	GO:0051716	cellular response to stimulus	372	3	11.46	0.99825	1
339	GO:1901362	organic cyclic compound biosynthetic pro...	925	16	28.49	0.99827	1
340	GO:0009987	cellular process	4740	129	145.98	0.99830	1
341	GO:0034641	cellular nitrogen compound metabolic pro...	1803	39	55.53	0.99906	1
342	GO:0044260	cellular macromolecule metabolic process	1807	40	55.65	0.99916	1
343	GO:0019438	aromatic compound biosynthetic process	880	13	27.1	0.99922	1
344	GO:0010556	regulation of macromolecule biosynthetic...	653	3	20.11	0.99954	1
345	GO:0007154	cell communication	279	1	8.59	0.99964	1
346	GO:0097659	nucleic acid-templated transcription	752	4	23.16	0.99974	1
347	GO:0018130	heterocycle biosynthetic process	884	12	27.22	0.99978	1
348	GO:0060255	regulation of macromolecule metabolic pr...	702	5	21.62	0.99987	1
349	GO:0051252	regulation of RNA metabolic process	649	3	19.99	0.99994	1
350	GO:0034654	nucleobase-containing compound biosynthe...	819	8	25.22	0.99994	1
351	GO:0006807	nitrogen compound metabolic process	3302	90	101.69	0.99995	1
352	GO:0032774	RNA biosynthetic process	754	4	23.22	0.99996	1
353	GO:0044271	cellular nitrogen compound biosynthetic ...	1291	21	39.76	0.99997	1
354	GO:0009059	macromolecule biosynthetic process	1233	16	37.97	0.99999	1
355	GO:0019219	regulation of nucleobase-containing comp...	659	3	20.29	1.00000	1
356	GO:0019222	regulation of metabolic process	710	5	21.87	1.00000	1
357	GO:0031326	regulation of cellular biosynthetic proc...	653	3	20.11	1.00000	1
358	GO:0031323	regulation of cellular metabolic process	678	3	20.88	1.00000	1
359	GO:0051171	regulation of nitrogen compound metaboli...	673	3	20.73	1.00000	1
360	GO:0050794	regulation of cellular process	1032	7	31.78	1.00000	1
361	GO:0043170	macromolecule metabolic process	3000	67	92.39	1.00000	1
362	GO:0080090	regulation of primary metabolic process	673	3	20.73	1.00000	1
363	GO:0009889	regulation of biosynthetic process	653	3	20.11	1.00000	1
364	GO:0050789	regulation of biological process	1067	9	32.86	1.00000	1
365	GO:0065007	biological regulation	1095	9	33.72	1.00000	1
366	GO:0006767	water-soluble vitamin metabolic process	26	1	0.8	1.00000	1
367	GO:0006351	transcription, DNA-templated	752	4	23.16	1.00000	1
368	GO:0046496	nicotinamide nucleotide metabolic proces...	6	1	0.18	1.00000	1
369	GO:0006801	superoxide metabolic process	8	2	0.25	1.00000	1
370	GO:0034968	histone lysine methylation	13	1	0.4	1.00000	1
371	GO:0016579	protein deubiquitination	14	1	0.43	1.00000	1
372	GO:0042364	water-soluble vitamin biosynthetic proce...	26	1	0.8	1.00000	1
373	GO:0008150	biological_process	6202	191	191	1.00000	1
374	GO:0006098	pentose-phosphate shunt	7	1	0.22	1.00000	1
375	GO:0009179	purine ribonucleoside diphosphate metabo...	38	6	1.17	1.00000	1
376	GO:0019359	nicotinamide nucleotide biosynthetic pro...	6	1	0.18	1.00000	1
377	GO:0009201	ribonucleoside triphosphate biosynthetic...	28	1	0.86	1.00000	1
378	GO:0006535	cysteine biosynthetic process from serin...	5	1	0.15	1.00000	1
379	GO:0009205	purine ribonucleoside triphosphate metab...	28	1	0.86	1.00000	1
380	GO:0009206	purine ribonucleoside triphosphate biosy...	28	1	0.86	1.00000	1
381	GO:0045333	cellular respiration	20	1	0.62	1.00000	1
382	GO:0006796	phosphate-containing compound metabolic ...	1054	27	32.46	1.00000	1
383	GO:0006073	cellular glucan metabolic process	39	3	1.2	1.00000	1
384	GO:0009145	purine nucleoside triphosphate biosynthe...	28	1	0.86	1.00000	1
385	GO:0000041	transition metal ion transport	11	0	0.34	1.00000	1
